,age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,salary
29187,31, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,99, United-States,>50K
74,79, Private, Some-college, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,20, United-States,<=50K
20221,49, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Female,40, United-States,<=50K
24034,42, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,40, United-States,>50K
30869,67, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,30, United-States,>50K
10831,35, Private, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Male,45, United-States,>50K
2414,44, Private, Bachelors, Divorced, Exec-managerial, Unmarried, White, Male,50, United-States,>50K
28516,31, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,40, United-States,<=50K
11542,37, Local-gov, Bachelors, Divorced, Prof-specialty, Unmarried, White, Female,55, United-States,<=50K
31582,22, State-gov, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, White, Male,40, United-States,<=50K
22760,34, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, United-States,<=50K
22261,45, Private, HS-grad, Divorced, Transport-moving, Not-in-family, White, Male,40, United-States,<=50K
14105,51, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,40, United-States,<=50K
24512,28, Private, 11th, Married-civ-spouse, Adm-clerical, Wife, White, Female,40, Mexico,<=50K
4228,38, Private, Assoc-voc, Divorced, Adm-clerical, Unmarried, Black, Female,40, United-States,<=50K
20315,40, Private, 10th, Divorced, Machine-op-inspct, Unmarried, White, Female,40, United-States,<=50K
7757,50, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,60, United-States,>50K
13925,33, Private, 7th-8th, Divorced, Handlers-cleaners, Own-child, White, Male,40, United-States,<=50K
24119,49, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, United-States,<=50K
13789,44, Private, Assoc-acdm, Divorced, Machine-op-inspct, Own-child, White, Female,45, United-States,<=50K
21973,23, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,50, United-States,<=50K
4247,20, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,40, United-States,<=50K
6868,32, Private, HS-grad, Married-spouse-absent, Other-service, Unmarried, White, Female,20, United-States,<=50K
13330,64, Private, 1st-4th, Divorced, Priv-house-serv, Not-in-family, White, Female,12, United-States,<=50K
2794,28, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, ?,<=50K
11647,47, Local-gov, 11th, Married-civ-spouse, Transport-moving, Husband, White, Male,40, El-Salvador,<=50K
21766,37, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,40, United-States,<=50K
13103,47, Self-emp-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,48, United-States,<=50K
25578,59, ?, 10th, Divorced, ?, Not-in-family, White, Female,40, England,<=50K
14461,22, Private, Some-college, Never-married, Prof-specialty, Unmarried, White, Female,20, United-States,<=50K
5211,47, Private, 10th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, United-States,>50K
743,26, Private, Assoc-voc, Never-married, Tech-support, Own-child, White, Male,40, United-States,<=50K
21589,44, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,50, United-States,>50K
20632,33, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Female,40, ?,<=50K
30845,46, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,40, United-States,<=50K
28343,50, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,40, ?,<=50K
14835,44, Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,50, United-States,>50K
16855,21, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,40, United-States,<=50K
15645,33, Private, Some-college, Divorced, Handlers-cleaners, Own-child, White, Male,40, United-States,<=50K
14100,28, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,50, United-States,<=50K
24282,29, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,50, France,>50K
25984,41, Local-gov, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Male,40, United-States,<=50K
7471,19, Private, 10th, Never-married, Other-service, Not-in-family, White, Female,40, United-States,<=50K
25803,62, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,20, United-States,>50K
22251,50, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,45, United-States,>50K
15510,21, State-gov, Some-college, Never-married, Protective-serv, Not-in-family, White, Male,40, United-States,<=50K
5566,60, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,40, United-States,>50K
28028,30, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,40, United-States,<=50K
11612,47, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,50, United-States,>50K
18381,52, State-gov, Bachelors, Widowed, Exec-managerial, Unmarried, White, Female,55, United-States,<=50K
14302,36, Private, Prof-school, Never-married, Exec-managerial, Not-in-family, White, Male,50, United-States,>50K
21746,67, ?, 5th-6th, Widowed, ?, Unmarried, Black, Female,40, United-States,<=50K
22738,25, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, United-States,>50K
26892,22, Private, 10th, Separated, Other-service, Unmarried, White, Female,35, United-States,<=50K
14298,49, Private, 9th, Separated, Handlers-cleaners, Own-child, White, Male,38, United-States,<=50K
1921,38, Private, Masters, Married-civ-spouse, Craft-repair, Husband, Black, Male,40, United-States,>50K
888,54, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Black, Male,40, United-States,<=50K
19520,63, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Male,40, United-States,<=50K
17902,67, ?, 7th-8th, Widowed, ?, Not-in-family, White, Female,35, United-States,<=50K
21765,22, Private, Some-college, Never-married, Craft-repair, Own-child, White, Male,35, United-States,<=50K
13690,39, Federal-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male,45, United-States,<=50K
10080,31, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,60, United-States,<=50K
14629,57, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States,>50K
14130,22, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Male,40, United-States,<=50K
959,42, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, United-States,>50K
23507,19, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,20, United-States,<=50K
14094,17, State-gov, 10th, Never-married, Other-service, Own-child, White, Male,30, United-States,<=50K
11910,28, Self-emp-not-inc, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,55, United-States,<=50K
16691,46, Local-gov, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Female,40, United-States,<=50K
16516,45, Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Male,56, United-States,>50K
10711,20, Private, Some-college, Separated, Sales, Unmarried, Black, Female,40, United-States,<=50K
29730,32, Private, HS-grad, Never-married, Other-service, Own-child, Black, Female,40, United-States,<=50K
15496,67, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Female,16, Germany,>50K
22035,52, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,40, United-States,>50K
11249,35, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,44, United-States,<=50K
31647,43, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,58, United-States,<=50K
27127,29, Private, Assoc-voc, Never-married, Craft-repair, Other-relative, White, Male,40, United-States,<=50K
28522,42, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, United-States,>50K
14255,68, ?, HS-grad, Widowed, ?, Not-in-family, White, Male,32, United-States,<=50K
11714,29, Private, HS-grad, Separated, Other-service, Unmarried, Black, Female,30, United-States,<=50K
25293,40, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Male,40, United-States,<=50K
27344,30, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,20, Peru,<=50K
25963,61, Self-emp-not-inc, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male,50, United-States,>50K
20892,46, Private, Some-college, Married-spouse-absent, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,40, Philippines,<=50K
32444,51, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States,<=50K
11514,42, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, United-States,>50K
10756,25, Private, 10th, Never-married, Handlers-cleaners, Own-child, Black, Male,40, United-States,<=50K
1963,49, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,50, United-States,>50K
9439,58, Private, 10th, Married-civ-spouse, Transport-moving, Husband, White, Male,40, United-States,>50K
2385,56, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,50, United-States,>50K
26360,51, Self-emp-inc, Bachelors, Divorced, Farming-fishing, Unmarried, White, Male,50, United-States,<=50K
2634,66, ?, 11th, Never-married, ?, Not-in-family, White, Male,30, United-States,<=50K
25160,38, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,55, United-States,>50K
31844,53, Self-emp-inc, Some-college, Widowed, Sales, Not-in-family, White, Female,60, United-States,<=50K
12056,17, Private, 11th, Never-married, Protective-serv, Own-child, White, Female,30, United-States,<=50K
2201,28, Federal-gov, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband, White, Male,60, United-States,<=50K
4898,37, Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,50, United-States,>50K
13081,29, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, United-States,<=50K
19600,57, Private, Assoc-voc, Widowed, Prof-specialty, Not-in-family, White, Female,40, United-States,<=50K
8770,27, Local-gov, Masters, Never-married, Prof-specialty, Not-in-family, White, Female,40, United-States,<=50K
12596,28, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States,<=50K
18741,31, Private, 10th, Never-married, Other-service, Not-in-family, White, Male,40, United-States,<=50K
24980,37, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,40, ?,<=50K
13314,39, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,40, United-States,<=50K
6413,34, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,45, United-States,<=50K
23949,32, Private, Assoc-voc, Married-civ-spouse, Tech-support, Husband, White, Male,40, United-States,<=50K
17286,59, Self-emp-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,80, United-States,>50K
2212,42, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,40, United-States,<=50K
12338,47, State-gov, Doctorate, Divorced, Prof-specialty, Unmarried, White, Male,50, France,>50K
22395,26, Local-gov, Bachelors, Never-married, Prof-specialty, Own-child, Black, Female,35, United-States,<=50K
24464,39, Private, HS-grad, Never-married, Sales, Unmarried, Black, Female,40, United-States,<=50K
11215,37, Private, HS-grad, Never-married, Tech-support, Not-in-family, White, Female,35, United-States,>50K
8850,33, Private, Masters, Married-civ-spouse, Tech-support, Husband, White, Male,15, United-States,<=50K
25055,45, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States,>50K
31912,62, ?, HS-grad, Married-civ-spouse, ?, Husband, White, Male,18, United-States,<=50K
13587,58, State-gov, 9th, Married-civ-spouse, Farming-fishing, Husband, White, Male,40, United-States,<=50K
617,50, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,32, United-States,<=50K
14572,26, Private, Bachelors, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Male,20, South,<=50K
2620,41, Federal-gov, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,40, United-States,>50K
30718,36, Private, Some-college, Never-married, Protective-serv, Unmarried, Black, Female,40, United-States,<=50K
17773,47, ?, HS-grad, Separated, ?, Unmarried, Black, Female,32, United-States,<=50K
11127,48, Local-gov, Bachelors, Divorced, Prof-specialty, Unmarried, White, Female,60, United-States,<=50K
325,63, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,45, United-States,<=50K
30147,31, Private, 9th, Never-married, Other-service, Unmarried, White, Female,20, United-States,<=50K
32155,23, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Male,20, United-States,<=50K
5289,36, Private, 10th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, United-States,<=50K
12840,27, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, Black, Male,40, United-States,<=50K
15742,24, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,35, United-States,<=50K
1237,41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Other-relative, White, Female,40, Cuba,<=50K
9933,25, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Female,40, United-States,<=50K
31840,55, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, United-States,>50K
27585,51, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,50, United-States,>50K
27783,20, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,40, United-States,<=50K
14868,19, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,40, United-States,<=50K
29577,42, Self-emp-not-inc, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,40, United-States,<=50K
20104,36, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,40, United-States,<=50K
26117,46, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,50, United-States,<=50K
21847,19, ?, HS-grad, Never-married, ?, Own-child, White, Male,30, United-States,<=50K
25756,22, Private, Some-college, Never-married, Tech-support, Other-relative, Asian-Pac-Islander, Female,32, United-States,<=50K
2907,33, Local-gov, HS-grad, Divorced, Adm-clerical, Own-child, White, Female,40, United-States,<=50K
24720,20, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,40, United-States,<=50K
27736,44, Private, Some-college, Married-civ-spouse, Adm-clerical, Wife, White, Female,45, United-States,>50K
24408,39, Private, Bachelors, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander, Female,35, United-States,<=50K
23991,62, Private, Assoc-voc, Divorced, Other-service, Not-in-family, White, Male,40, United-States,<=50K
13651,55, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,42, United-States,>50K
9214,24, ?, Bachelors, Never-married, ?, Own-child, White, Male,40, United-States,<=50K
13706,34, Private, 11th, Never-married, Other-service, Own-child, Asian-Pac-Islander, Male,40, Philippines,<=50K
28318,38, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, Black, Male,60, United-States,>50K
28472,51, Private, 9th, Married-civ-spouse, Farming-fishing, Husband, White, Male,40, Mexico,<=50K
12565,42, Private, Masters, Never-married, Exec-managerial, Not-in-family, White, Male,45, United-States,>50K
27707,17, ?, 10th, Never-married, ?, Own-child, Black, Male,20, United-States,<=50K
12008,26, ?, Bachelors, Never-married, ?, Not-in-family, White, Female,80, United-States,<=50K
30737,31, Self-emp-not-inc, 9th, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States,<=50K
13532,52, Private, Assoc-voc, Divorced, Other-service, Unmarried, White, Female,40, United-States,<=50K
4549,53, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,55, United-States,>50K
20523,29, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,40, United-States,>50K
15309,67, ?, HS-grad, Widowed, ?, Other-relative, White, Female,8, United-States,<=50K
18178,20, Self-emp-not-inc, HS-grad, Divorced, Sales, Not-in-family, White, Female,30, United-States,<=50K
4758,31, Private, HS-grad, Never-married, Craft-repair, Unmarried, White, Male,40, United-States,>50K
27337,31, Private, Some-college, Never-married, Adm-clerical, Unmarried, Black, Female,35, United-States,<=50K
439,42, Local-gov, Some-college, Married-civ-spouse, Adm-clerical, Wife, White, Female,40, United-States,<=50K
30929,23, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Own-child, White, Female,30, United-States,<=50K
29135,24, Private, Some-college, Never-married, Sales, Own-child, White, Male,20, United-States,<=50K
23030,18, Local-gov, HS-grad, Never-married, Other-service, Own-child, White, Male,60, United-States,<=50K
4183,23, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,40, United-States,<=50K
11561,57, State-gov, Doctorate, Divorced, Prof-specialty, Not-in-family, White, Male,60, United-States,>50K
32532,34, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,60, United-States,>50K
276,44, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States,>50K
5165,22, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Male,30, United-States,<=50K
11616,52, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,45, United-States,>50K
7653,47, Private, HS-grad, Divorced, Craft-repair, Unmarried, White, Female,43, United-States,<=50K
10778,24, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,50, United-States,<=50K
2411,36, Local-gov, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,65, United-States,<=50K
27806,32, Self-emp-not-inc, Some-college, Divorced, Other-service, Not-in-family, White, Female,35, United-States,<=50K
27373,70, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,30, United-States,<=50K
21020,31, Private, HS-grad, Never-married, Sales, Other-relative, White, Male,48, United-States,<=50K
20928,52, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,55, Canada,>50K
4106,40, Private, Bachelors, Never-married, Sales, Not-in-family, White, Female,45, United-States,<=50K
8795,61, ?, 7th-8th, Married-civ-spouse, ?, Husband, White, Male,40, United-States,>50K
17638,50, Federal-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, United-States,>50K
13786,53, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male,50, United-States,>50K
31195,36, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,40, United-States,<=50K
18820,57, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Male,42, United-States,<=50K
899,28, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,40, United-States,<=50K
15517,49, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, United-States,>50K
27302,33, Private, 11th, Never-married, Handlers-cleaners, Own-child, Black, Male,40, United-States,<=50K
16260,39, Self-emp-not-inc, Doctorate, Divorced, Adm-clerical, Other-relative, Other, Male,40, ?,<=50K
6602,62, Private, 7th-8th, Widowed, Machine-op-inspct, Not-in-family, White, Female,40, United-States,<=50K
30936,54, Private, 11th, Married-civ-spouse, Other-service, Wife, Black, Female,40, United-States,>50K
30694,46, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,35, United-States,<=50K
281,42, Local-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States,>50K
23444,24, Private, Bachelors, Never-married, Sales, Not-in-family, White, Male,40, United-States,<=50K
11021,52, Private, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Male,57, United-States,>50K
30956,44, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,43, United-States,<=50K
25745,41, Self-emp-inc, Some-college, Divorced, Machine-op-inspct, Not-in-family, White, Female,40, Honduras,<=50K
11339,19, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male,30, United-States,<=50K
7702,69, State-gov, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,40, United-States,<=50K
252,59, Local-gov, 10th, Widowed, Other-service, Unmarried, Black, Female,30, United-States,<=50K
22470,31, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,50, United-States,>50K
28108,21, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,40, United-States,<=50K
5374,55, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, Black, Male,40, ?,>50K
20147,45, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Black, Male,40, United-States,>50K
15943,26, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,50, United-States,<=50K
20047,48, Local-gov, Masters, Married-civ-spouse, Prof-specialty, Wife, White, Female,40, United-States,>50K
8966,43, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,48, United-States,>50K
7353,42, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,50, United-States,>50K
16228,32, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,40, United-States,<=50K
17852,31, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,36, Mexico,<=50K
8635,57, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, United-States,<=50K
21180,38, Private, Some-college, Married-civ-spouse, Sales, Wife, White, Female,40, United-States,>50K
3544,39, Local-gov, Bachelors, Divorced, Adm-clerical, Unmarried, White, Female,35, United-States,<=50K
22600,51, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,55, United-States,<=50K
22680,35, Local-gov, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,40, United-States,<=50K
29219,25, Private, Some-college, Never-married, Other-service, Own-child, White, Female,40, United-States,<=50K
3858,31, Private, Bachelors, Never-married, Prof-specialty, Unmarried, Black, Female,40, ?,<=50K
8839,43, Private, 9th, Divorced, Handlers-cleaners, Unmarried, White, Female,40, United-States,<=50K
14142,38, Local-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, United-States,>50K
27378,64, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,45, United-States,>50K
19467,45, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,51, United-States,<=50K
20620,48, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Other-service, Wife, White, Female,15, United-States,<=50K
4481,25, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,40, United-States,<=50K
3468,38, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Female,20, United-States,>50K
11031,38, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,35, Mexico,<=50K
21596,24, Private, Assoc-acdm, Never-married, Exec-managerial, Own-child, White, Male,40, United-States,<=50K
25562,45, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Female,46, United-States,<=50K
14701,51, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,50, United-States,>50K
31478,22, Private, HS-grad, Never-married, Machine-op-inspct, Other-relative, White, Male,35, United-States,<=50K
6422,44, Private, HS-grad, Separated, Adm-clerical, Not-in-family, White, Female,40, Puerto-Rico,<=50K
25429,50, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,40, United-States,>50K
3316,47, Local-gov, Some-college, Never-married, Protective-serv, Not-in-family, Black, Male,40, United-States,<=50K
19732,24, Private, Masters, Never-married, Adm-clerical, Not-in-family, White, Male,56, United-States,<=50K
22520,44, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,41, United-States,<=50K
18801,23, Local-gov, HS-grad, Never-married, Other-service, Not-in-family, White, Female,40, United-States,<=50K
31354,32, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States,>50K
31240,27, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, United-States,<=50K
16031,35, Private, HS-grad, Married-spouse-absent, Other-service, Unmarried, Black, Female,20, United-States,<=50K
11296,24, Private, 11th, Married-civ-spouse, Sales, Husband, White, Male,40, United-States,<=50K
23263,27, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States,<=50K
